Projectnummer;Opdrachtnummer;SYNDIC NAME;SYNDIC ADDRESS;SYNDIC ZIPCODE;SYNDIC CITY;SYNDIC PHONE;SYNDIC EMAIL;SYNDIC DATE;Straat;Huisnummer;Huisnummer Toevoeging;Opdrachttemplate
MECHELEN - FH01;5530639;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Sint-Janstraat;8;D;BUILDING template
MECHELEN - FH01;5539175;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Sint-Janstraat;8;C;BUILDING template
MECHELEN - FH01;5900266;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Sint-Janstraat;8;A;BUILDING template
MECHELEN - FH01;5904577;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Sint-Janstraat;8;B;BUILDING template
MECHELEN - FH01;5507055;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Sint-Janstraat;10;A;BUILDING template
MECHELEN - FH01;3051129;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Varkensstraat;9;;BUILDING template
MECHELEN - FH01;901602;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Sint-Janskerkhof;3;;BUILDING template
MECHELEN - FH01;901603;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Sint-Janskerkhof;5;;BUILDING template
MECHELEN - FH01;5508105;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Sint-Janstraat;8;;BUILDING template
MECHELEN - FH01;5524627;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Sint-Janstraat;10;;BUILDING template
MECHELEN - FH02;405392;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Hanswijkstraat;33;;BUILDING template
MECHELEN - FH02;3046668;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Raghenoplein;13;;BUILDING template
MECHELEN - FH02;403241;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Raghenoplein;15;;BUILDING template
MECHELEN - FH02;386471;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Schuttersvest;9;;BUILDING template
MECHELEN - FH02;3053934;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Zoutwerf;25;;BUILDING template
MECHELEN - FH02;3924463;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Zoutwerf;27;;BUILDING template
MECHELEN - FH02;3053938;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Zoutwerf;28;;BUILDING template
MECHELEN - FH02;3053935;AB Vastgoedbeheer;Putsesteenweg 14;2800;Mechelen;015346182;info@abvastgoedbeheer.be;2019-02-25;Zoutwerf;26;;BUILDING template
MECHELEN - FH02;3037286;Abr Concept;Aarschotsebaan 16;1910;Kampenhout;0479228982;geen@email.com;2019-03-04;Hoogstraat;43;;BUILDING template
MECHELEN - FH02;336420;Aflats Mechelen;Brusselsesteenweg 141;2800;Mechelen;014448817;geen@email.com;2019-03-12;Leopoldstraat;98;;BUILDING template
MECHELEN - FH02;3037302;Alina Vanderidt;Hoogstraat 61 bus 2;2800;Mechelen;015650498;geen@email.com;2019-03-27;Hoogstraat;61;;BUILDING template
MECHELEN - FH02;371065;AZ Sint-Maarten;Leopoldstraat 2;2800;Mechelen;015409866;Lies.Bohets@Emmaus.be;2018-09-10;Willem Rosierstraat;17;;BUILDING template
MECHELEN - FH02;3050725;B-Apart;Begijnenweide 3;2800;Mechelen;0470010101;info@b-apart.be;2018-09-10;Van Benedenlaan;2;;BUILDING template
MECHELEN - FH02;386473;Beveko;Fruithoflaan 79;2600;Berchem;034403844;info@beveko.be;2019-12-26;Schuttersvest;19;;BUILDING template
MECHELEN - FH02;3047959;Beveko;Fruithoflaan 79;2600;Berchem;034403844;info@beveko.be;2019-03-04;Schuttersvest;17;;BUILDING template
MECHELEN - FH03;1322945;Blavier;Geen Adres;2800;Mechelen;0479575397;geen@email.com;2019-05-31;Bruul;94;;BUILDING template
MECHELEN - FH02;3046665;Bureau Van Eycken;Brusselsesteenweg 180;1980;Zemst;015621142;info@vaneyken.be;2018-09-10;Raghenoplein;7;;BUILDING template
MECHELEN - FH02;3028987;BVBA Immo Vos Vastgoed;Grote Markt 6;2800;Mechelen;015343436;info@immovos.be;2019-03-29;Koning Albertplein;7;;BUILDING template
MECHELEN - FH01;903150;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Leermarkt;42;;BUILDING template
MECHELEN - FH02;354328;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Stationsstraat;30;;BUILDING template
MECHELEN - FH02;3049021;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Stationsstraat;31;;BUILDING template
MECHELEN - FH02;3050745;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Van Benedenlaan;19;;BUILDING template
MECHELEN - FH03;905233;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Bruul;79;;BUILDING template
MECHELEN - FH01;3051180;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Veemarkt;37;;BUILDING template
MECHELEN - FH01;3033479;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Dobbelhuizen;17;;BUILDING template
MECHELEN - FH02;403235;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Hanswijkstraat;43;;BUILDING template
MECHELEN - FH02;354048;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Stationsstraat;43;;BUILDING template
MECHELEN - FH02;5603024;Carl Marien;Liersesteenweg 394;2800;Mechelen;015270161;info@carlmarien.be;2019-12-17;Zoutwerf;17;;BUILDING template
