Zoning FID;Zoning  Name;Zoning  ID;BUILDING_KEY;LU Key;LAM SK;CAMPAIGN_NAME;SYNDIC_NAME;SYNDIC_ADDRESS;SYNDIC_ZIPCODE;SYNDIC_CITY;SYNDIC_PHONE;SYNDIC_EMAIL;SYNDIC_DATE;SYNDIC_INTERNAL_REF;ACP_VME_NAME;ACP_VME_ADDRESS;ACP_VME_ZIPCODE;ACP_VME_CITY;ACP_VME_PHONE;ACP_VME_EMAIL;ACP_VME_DATE;ACP_VME_INTERNAL_REF;CONCIERGE_NAME;CONCIERGE_APT-BUS;CONCIERGE_PHONE;CONCIERGE_EMAIL;OWNER_NAME;OWNER_ADDRESS;OWNER_ZIPCODE;OWNER_CITY;OWNER_PHONE;OWNER_EMAIL;OWNER_DATE;OCCUPANT_NAME;OCCUPANT_PHONE;OCCUPANT_EMAIL;OCCUPANT_DATE;VCA;BIA;VERTICAL_SHAFT;BU TYPE;Nr BU;Nr LU;Nr SU;M1 - Date of site survey;M2A - Date of technical proposal Street intro;M2B - Date of technical proposal VC;M3A - Expected date  of feedback/agreement Street intro;M3B - Expected date  of feedback/agreement VC;M4A â€“ Date of syndic/Owners agreement Street intro;M4Bâ€“ Date of syndic/Owners agreement VC;M5A â€“ installation start date â€“ street intro;M5B â€“ installation start date â€“ VC;M5C â€“ Installation start date â€“ LU termination;M6A â€“ Completion & acceptance date - street intro;M6B â€“ Completion & acceptance date - VC;M6C â€“ Completion & acceptance date - LU;construction_start;construction_end;Partner Comment
8105287;W03-C-Antwerpen-West-FH01;19074;1015486;11076664;5671498;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;CULTURAL;1;0;0;20190906;;;;;;;;;;;;;20210101;20220101;
8105287;W03-C-Antwerpen-West-FH01;19074;108063;1785472;5670387;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;Ongekend;;;;;;20190814;;;;;;;;;3;0;0;20190814;;;;;;;;;;;;;20200610;20200610;
8105287;W03-C-Antwerpen-West-FH01;19074;108063;1785473;5670388;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;Ongekend;;;;;;20190814;;;;;;;;;3;0;0;20190814;;;;;;;;;;;;;20200610;20200610;
8105287;W03-C-Antwerpen-West-FH01;19074;108063;11077570;5670389;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;Ongekend;;;;;;20190814;;;;;;;;;3;0;0;20190814;;;;;;;;;;;;;20200610;20200610;
8105287;W03-C-Antwerpen-West-FH01;19074;108064;1767837;5670383;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;Eigenaar Onbekend;;;;;;20190814;;;;;;;;;2;2;0;20190817;;;;;;;;;;;;;20200526;20200526;
8105287;W03-C-Antwerpen-West-FH01;19074;108064;1767838;5670385;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;Eigenaar Onbekend;;;;;;20190814;;;;;;;;;2;2;0;20190817;;;;;;;;;;;;;20200526;20200526;
8105287;W03-C-Antwerpen-West-FH01;19074;108064;1767839;5670386;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;Eigenaar Onbekend;;;;;;20190814;;;;;;;;;2;2;0;20190817;;;;;;;;;;;;;20200526;20200526;
8105287;W03-C-Antwerpen-West-FH01;19074;108064;11077569;5670384;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;Eigenaar Onbekend;;;;;;20190814;;;;;;;;;2;2;0;20190817;;;;;;;;;;;;;20200526;20200526;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;1716081;5670352;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11184334;5670361;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11077554;5670353;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11077555;5670354;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11077556;5670355;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11077557;5670356;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11077558;5670357;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11077559;5670358;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11077560;5670359;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11077561;5670360;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;René/ Frank van der Wildt;;;;;;20190910;;;;;;;;;1;8;1;20190910;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108067;1610595;5671608;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;Onbekend;;2000;;033030246;;20180823;;;;;;;;;1;0;0;20200218;;;;;;;;;;;;;20200610;20200610;
8105287;W03-C-Antwerpen-West-FH01;19074;108068;11076673;5671650;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COMMERCIAL;1;0;0;20190402;;;;;;;;;;;;;20200610;20200610;
8105287;W03-C-Antwerpen-West-FH01;19074;108069;1693412;5670649;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;onbekend;;;;;;20190903;;;;;;;;;1;3;0;20190903;;;;;;;;;;;;;20200610;20200610;
8105287;W03-C-Antwerpen-West-FH01;19074;108069;1693413;5670650;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;onbekend;;;;;;20190903;;;;;;;;;1;3;0;20190903;;;;;;;;;;;;;20200610;20200610;
8105287;W03-C-Antwerpen-West-FH01;19074;108069;1693414;5670651;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;onbekend;;;;;;20190903;;;;;;;;;1;3;0;20190903;;;;;;;;;;;;;20200610;20200610;
8105287;W03-C-Antwerpen-West-FH01;19074;108069;11077736;5670652;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;onbekend;;;;;;20190903;;;;;;;;;1;3;0;20190903;;;;;;;;;;;;;20200610;20200610;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;1628005;5671549;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077832;5671550;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077833;5671551;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077834;5671552;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077835;5671553;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077836;5671554;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077837;5671555;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077838;5671556;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077839;5671558;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077840;5671559;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077841;5671560;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
8105287;W03-C-Antwerpen-West-FH01;19074;108073;11077824;5671548;W03-C-Antwerpen-West-FH01;Fidimco;Meir 24;2000;Antwerpen;032312617;info@fidimco.be;20190830;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;1;32;1;20200225;;;;;;;;;;;;;20200525;20200525;
